标题,价格,出租类型,房屋类型,格局,面积,朝向,装修,楼层,小区,位置,发布人
建发SOHO挑高楼层实用面积大办公自住皆宜可配家具,4100,整租,普通住宅,2室2厅2卫,65平米,朝东,精装修,第15层/共19层,建发众创空间,保税区,经纪人：
湖里台湾街65m²精装两房拎包,3000,整租,公寓,2室1厅1卫,65平米,第14层/共15层,,,华永天地,台湾街,品牌公寓：
房东直租 包物业宽带 押一付一,1400,整租,公寓,1室0厅1卫,20平米,第26层/共35层,,,融景湾,万达广场,品牌公寓：
中埔社｜包物业宽带家电齐全复式楼,1500,整租,公寓,1室1厅1卫,20平米,第4层/共6层,,,中埔社,SM附近,品牌公寓：
房东急租免中介费 高档海景小区湖里五缘湾源昌鑫海湾,2000,整租,公寓,1室1厅1卫,35平米,第8层/共13层,,,源昌鑫海湾,五缘湾,品牌公寓：
个人江头台湾街一房一厅50平包物业,2600,整租,公寓,1室1厅1卫,50平米,第15层/共15层,,,华永天地,台湾街,品牌公寓：
紫金家园大三房带车位全套家具家电南北通透户型好,7800,整租,普通住宅,3室2厅2卫,133平米,朝南北,中等装修,第10层/共13层,紫金家园,五缘湾,经纪人：
建发湾区正规四房高层看湾景南北通透全套家具家电,12000,整租,普通住宅,4室2厅2卫,216平米,朝南北,精装修,第10层/共29层,建发中央湾区二期,五缘湾,经纪人：
特房五缘尊府3房1厅高层景观好拎包直接入住适用多人居住,4500,整租,普通住宅,3室2厅1卫,122平米,朝南北,中等装修,第21层/共28层,特房五缘尊府,五缘湾,经纪人：
建发SOHO挑高楼层实用面积大办公自住皆宜可配家具,4100,整租,普通住宅,2室2厅2卫,65平米,朝东,精装修,第15层/共19层,建发众创空间,保税区,经纪人：
五缘湾中骏天誉四房温泉入户含子母车位7500看湾景,7500,整租,普通住宅,4室2厅2卫,169平米,朝南北,中等装修,第4层/共33层,中骏天誉,五缘湾,经纪人：
特房五缘尚座高层大3房景观一览无遗全套家具电仅7000,7000,整租,普通住宅,3室1厅2卫,143平米,朝南北,中等装修,第25层/共27层,特房五缘尚座,五缘湾,经纪人：
建发湾区2房2卫1书房高层看湾可配全套家具家电,6000,整租,普通住宅,2室2厅2卫,103平米,朝南北,中等装修,第20层/共29层,建发中央湾区一期,五缘湾,经纪人：
建发湾区143平4房精装高层看湾景7500空房带车位,7500,整租,普通住宅,4室2厅2卫,143平米,朝南北,精装修,第15层/共28层,建发中央湾区,五缘湾,经纪人：
建发湾区高层楼中楼三房三卫双阳台前排看湾出租,7500,整租,普通住宅,3室2厅3卫,114平米,朝南北,精装修,第20层/共29层,建发中央湾区二期,五缘湾,经纪人：
五缘湾精装单身公寓+YOHO挑高复式+观景大飘窗！,2000,整租,普通住宅,1室1厅1卫,47平米,朝南北,精装修,第12层/共24层,大唐五缘YOHO,五缘湾,经纪人：
江头吕厝sm福隆国际办公出租带办公家具可直接入驻办公,5000,整租,普通住宅,4室1厅1卫,110平米,朝南北,精装修,第4层/共30层,福隆国际,江头北路,经纪人：
江头吕厝新景园电梯精装两房1厨2卫有100平大露台使用,3000,整租,普通住宅,2室1厅2卫,68平米,朝南北,中等装修,第5层/共28层,新景园二期,江头北路,经纪人：
观音山软件园万达单身公寓.各种风格.单身公寓价格不一,1800,整租,普通住宅,1室1厅1卫,44平米,朝南,简单装修,第12层/共31层,湖里万达广场,湖边水库片,经纪人：
湖里万达广场精装修交通极便商圈周围购物方便拎包入住,2000,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第16层/共31层,湖里万达广场,湖边水库片,经纪人：
湖里万达SOHO公寓配套齐全，购物方便，拎包入住，随时看房,1900,整租,普通住宅,1室1厅1卫,44平米,朝南,豪华装修,第25层/共31层,湖里万达广场,湖边水库片,经纪人：
观音山附近湖里万达广场.精装修.交通极便.商圈周围.购物方便,2000,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第9层/共31层,湖里万达广场,湖边水库片,经纪人：
观音山附近湖里万达广场.精装修.交通极便.商圈周围.购物方便,2000,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第9层/共31层,湖里万达广场,湖边水库片,经纪人：
出租屋新装未入住3房2厅2卫64平米复式使用100平米,4000,整租,普通住宅,2室2厅1卫,64平米,朝西,中等装修,第17层/共28层,万科中心,万达广场,经纪人：
建发中央天成141平南北大三房中高楼层随时看房,4300,整租,普通住宅,3室2厅2卫,141平米,朝南北,中等装修,第15层/共26层,建发中央天成,祥店,经纪人：
湖里祥店单间独卫包宽带物业,1250,整租,公寓,1室0厅1卫,20平米,第4层/共11层,,,祥店新村,金尚路,品牌公寓：
房东直租 两房一厅 包物业宽带 多套,3200,整租,公寓,2室1厅1卫,70平米,第26层/共35层,,,融景湾,万达广场,品牌公寓：
青友品牌公寓出租免中介 BRT县后站宏益华府小区一房一厅精装多样风格配套齐全公寓（赠送物业宽带 可押一付一 可短租 拎包入住 交通便利）,1850,整租,公寓,1室1厅1卫,32平米,第6层/共13层,,,宏益华府,机场附近,品牌公寓：
青友免中介 湖里 江头 华永天地1室1厅2600 精装 采光好,2600,整租,公寓,1室1厅1卫,68平米,第15层/共15层,,,华永天地,吕厝,品牌公寓：
个人租县后BRT附近湖里高新科技园去单,1450,合租,公寓,1室0厅1卫,25平米,第7层/共13层,,,宏益华府,高新技术园,品牌公寓：
五缘湾中骏天誉四房温泉入户含子母车位7500看湾景,7500,整租,普通住宅,4室2厅2卫,169平米,朝南北,中等装修,第4层/共33层,中骏天誉,五缘湾,经纪人：
特房五缘尚座高层大3房景观一览无遗全套家具电仅7000,7000,整租,普通住宅,3室1厅2卫,143平米,朝南北,中等装修,第25层/共27层,特房五缘尚座,五缘湾,经纪人：
建发湾区2房2卫1书房高层看湾可配全套家具家电,6000,整租,普通住宅,2室2厅2卫,103平米,朝南北,中等装修,第20层/共29层,建发中央湾区一期,五缘湾,经纪人：
建发湾区143平4房精装高层看湾景7500空房带车位,7500,整租,普通住宅,4室2厅2卫,143平米,朝南北,精装修,第15层/共28层,建发中央湾区,五缘湾,经纪人：
建发湾区高层楼中楼三房三卫双阳台前排看湾出租,7500,整租,普通住宅,3室2厅3卫,114平米,朝南北,精装修,第20层/共29层,建发中央湾区二期,五缘湾,经纪人：
五缘湾精装单身公寓+YOHO挑高复式+观景大飘窗！,2000,整租,普通住宅,1室1厅1卫,47平米,朝南北,精装修,第12层/共24层,大唐五缘YOHO,五缘湾,经纪人：
江头吕厝sm福隆国际办公出租带办公家具可直接入驻办公,5000,整租,普通住宅,4室1厅1卫,110平米,朝南北,精装修,第4层/共30层,福隆国际,江头北路,经纪人：
江头吕厝新景园电梯精装两房1厨2卫有100平大露台使用,3000,整租,普通住宅,2室1厅2卫,68平米,朝南北,中等装修,第5层/共28层,新景园二期,江头北路,经纪人：
观音山软件园万达单身公寓.各种风格.单身公寓价格不一,1800,整租,普通住宅,1室1厅1卫,44平米,朝南,简单装修,第12层/共31层,湖里万达广场,湖边水库片,经纪人：
湖里万达广场精装修交通极便商圈周围购物方便拎包入住,2000,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第16层/共31层,湖里万达广场,湖边水库片,经纪人：
湖里万达SOHO公寓配套齐全，购物方便，拎包入住，随时看房,1900,整租,普通住宅,1室1厅1卫,44平米,朝南,豪华装修,第25层/共31层,湖里万达广场,湖边水库片,经纪人：
观音山附近湖里万达广场.精装修.交通极便.商圈周围.购物方便,2000,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第9层/共31层,湖里万达广场,湖边水库片,经纪人：
观音山附近湖里万达广场.精装修.交通极便.商圈周围.购物方便,2000,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第9层/共31层,湖里万达广场,湖边水库片,经纪人：
出租屋新装未入住3房2厅2卫64平米复式使用100平米,4000,整租,普通住宅,2室2厅1卫,64平米,朝西,中等装修,第17层/共28层,万科中心,万达广场,经纪人：
建发中央天成141平南北大三房中高楼层随时看房,4300,整租,普通住宅,3室2厅2卫,141平米,朝南北,中等装修,第15层/共26层,建发中央天成,祥店,经纪人：
世茂湖滨首府豪装两房南北通透看湖看海仅租1万/月,10000,整租,普通住宅,2室2厅1卫,160平米,朝南,豪华装修,第37层/共42层,世茂湖滨首府C地块,湖边水库片,经纪人：
枋湖宏伟大厦朝南电梯4房楼层高租8000,8000,整租,普通住宅,4室2厅3卫,214平米,朝南,简单装修,第11层/共11层,宏伟大厦,枋湖,经纪人：
万科云玺万达旁64平空房4300微信同号可咨询,4300,整租,普通住宅,3室2厅2卫,64平米,朝南,精装修,第12层/共28层,万科中心,万达广场,经纪人：
联发新天地实验二小大三房双阳台大入户7500全套,7500,整租,普通住宅,3室2厅2卫,199平米,朝南北,中等装修,第10层/共25层,联发新天地,祥店,经纪人：
青友公寓直租免中介费 国际石材新出精装两房公寓 设计新颖 设施配备齐全 包物业宽带,2550,整租,公寓,2室1厅1卫,45平米,第5层/共9层,,,国际石材中心,机场附近,品牌公寓：
个人诚意出租湖里高新科技园内金海湾,1850,整租,公寓,1室1厅1卫,48平米,第8层/共13层,,,宏益华府,高新技术园,品牌公寓：
出租湖里高新技术园宏益华府小区 多套房源价格1450-2800元 家电齐全 拎包入住,2800,整租,公寓,2室1厅1卫,55平米,第7层/共13层,,,宏益华府,五缘湾,品牌公寓：
中埔社｜包物业宽带家电齐全复式楼,1500,整租,公寓,1室1厅1卫,20平米,第4层/共6层,,,中埔社,SM附近,品牌公寓：
个人非中介 高新技术园力拓大厦,2600,整租,公寓,2室1厅1卫,43平米,第8层/共13层,,,力拓大厦,五缘湾,品牌公寓：
湖里万达广场精装修交通极便商圈周围购物方便拎包入住,2000,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第16层/共31层,湖里万达广场,湖边水库片,经纪人：
湖里万达SOHO公寓配套齐全，购物方便，拎包入住，随时看房,1900,整租,普通住宅,1室1厅1卫,44平米,朝南,豪华装修,第25层/共31层,湖里万达广场,湖边水库片,经纪人：
观音山附近湖里万达广场.精装修.交通极便.商圈周围.购物方便,2000,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第9层/共31层,湖里万达广场,湖边水库片,经纪人：
观音山附近湖里万达广场.精装修.交通极便.商圈周围.购物方便,2000,整租,公寓,1室0厅1卫,44平米,朝南,精装修,第9层/共31层,湖里万达广场,湖边水库片,经纪人：
出租屋新装未入住3房2厅2卫64平米复式使用100平米,4000,整租,普通住宅,2室2厅1卫,64平米,朝西,中等装修,第17层/共28层,万科中心,万达广场,经纪人：
建发中央天成141平南北大三房中高楼层随时看房,4300,整租,普通住宅,3室2厅2卫,141平米,朝南北,中等装修,第15层/共26层,建发中央天成,祥店,经纪人：
世茂湖滨首府豪装两房南北通透看湖看海仅租1万/月,10000,整租,普通住宅,2室2厅1卫,160平米,朝南,豪华装修,第37层/共42层,世茂湖滨首府C地块,湖边水库片,经纪人：
枋湖宏伟大厦朝南电梯4房楼层高租8000,8000,整租,普通住宅,4室2厅3卫,214平米,朝南,简单装修,第11层/共11层,宏伟大厦,枋湖,经纪人：
万科云玺万达旁64平空房4300微信同号可咨询,4300,整租,普通住宅,3室2厅2卫,64平米,朝南,精装修,第12层/共28层,万科中心,万达广场,经纪人：
联发新天地实验二小大三房双阳台大入户7500全套,7500,整租,普通住宅,3室2厅2卫,199平米,朝南北,中等装修,第10层/共25层,联发新天地,祥店,经纪人：
sm商圈江头江头市场天地花园公交站精装修,1790,整租,普通住宅,1室1厅1卫,56平米,朝南北,精装修,第20层/共20层,裕兴大厦,江头北路,经纪人：
有家有爱有温馨急租新景天湖广场3室,3500,整租,普通住宅,3室2厅2卫,140平米,朝南北,精装修,第5层/共14层,新景天湖广场,江头北路,经纪人：
新景明发旁华永天地2室您等什么，有比这更便宜的吗,2550,整租,普通住宅,2室2厅1卫,55平米,朝南北,精装修,第10层/共15层,华永天地,台湾街,经纪人：
江头公园华永天地明发豪庭正规2房超直,3500,整租,普通住宅,2室1厅1卫,76平米,朝南北,精装修,第8层/共16层,明发豪庭,江头北路,经纪人：
华永金盛天地花园旁亿星大厦出租正规2室,3200,整租,普通住宅,2室2厅1卫,67平米,朝南北,精装修,第4层/共19层,亿星大厦,江头北路,经纪人：
4000/月世贸湖滨花园温馨欧装两房拎包入住！,4000,整租,普通住宅,2室1厅1卫,60平米,朝南北,精装修,第8层/共33层,世贸湖滨首府,湖边水库片,经纪人：
急租！送入户使用200平精装南北5房中医院旁国贸阳光,11500,整租,普通住宅,5室2厅2卫,168平米,朝南北,中等装修,第17层/共20层,国贸阳光,祥店,经纪人：
软件园二世茂湖滨温馨2房4000元看房方便,4000,整租,普通住宅,2室1厅1卫,75平米,朝南北,精装修,第18层/共34层,世茂湖滨首府,湖边水库片,经纪人：
业主降价急租万达软件园2房出租4800元齐全,4800,整租,普通住宅,2室2厅2卫,105平米,朝南北,中等装修,第20层/共32层,世茂湖滨首府,湖边水库片,经纪人：
中埔社｜包物业宽带家电齐全复式楼,1500,整租,公寓,1室1厅1卫,20平米,第4层/共6层,,,中埔社,SM附近,品牌公寓：
个人非中介 高新技术园力拓大厦,2600,整租,公寓,2室1厅1卫,43平米,第8层/共13层,,,力拓大厦,五缘湾,品牌公寓：
UONE天地|精装单间|近BRT|居住证开发票,1588,合租,公寓,3室1厅3卫,30平米,第11层/共14层,,,UONE天地,市政务中心,品牌公寓：
青友品牌公寓出租免中介 BRT双十站力拓新城小区两房一厅精装配套齐全风格多样公寓（赠送物业宽带 拎包入住 交通便利）,2599,整租,公寓,2室1厅1卫,42平米,第6层/共13层,,,力拓新城,市政务中心,品牌公寓：
业主免中介，湖里高新技术园力拓大厦,2600,整租,公寓,2室1厅1卫,42平米,第8层/共13层,,,力拓大厦,高新技术园,品牌公寓：
急租！送入户使用200平精装南北5房中医院旁国贸阳光,11500,整租,普通住宅,5室2厅2卫,168平米,朝南北,中等装修,第17层/共20层,国贸阳光,祥店,经纪人：
软件园二世茂湖滨温馨2房4000元看房方便,4000,整租,普通住宅,2室1厅1卫,75平米,朝南北,精装修,第18层/共34层,世茂湖滨首府,湖边水库片,经纪人：
业主降价急租万达软件园2房出租4800元齐全,4800,整租,普通住宅,2室2厅2卫,105平米,朝南北,中等装修,第20层/共32层,世茂湖滨首府,湖边水库片,经纪人：
五缘湾万达附近世茂湖滨花园精装修2+1房5000元,5000,整租,普通住宅,3室2厅2卫,105平米,朝南北,精装修,第11层/共32层,世茂湖滨首府,湖边水库片,经纪人：
软件园旁边湖边水库精装单身公寓未入住带阳台,1700,整租,普通住宅,1室0厅1卫,40平米,朝南北,中等装修,第13层/共30层,世茂湖滨首府,湖边水库片,经纪人：
软件园旁边湖边水库精装单身公寓未入住带阳台,1700,整租,普通住宅,1室0厅1卫,40平米,朝南北,中等装修,第13层/共30层,世茂湖滨首府,湖边水库片,经纪人：
精装修三房，拎包入住，押三付一,5500,整租,普通住宅,3室2厅1卫,110平米,朝南北,中等装修,第25层/共29层,世茂湖滨首府A区,湖边水库片,经纪人：
万达商圈特房山水新座整租再现113平,6300,整租,普通住宅,3室2厅2卫,113平米,朝南北,精装修,第16层/共39层,特房山水新座,湖边水库片,经纪人：
软件园湖滨水库片区1房独立卫生间有阳台可做房,1800,整租,普通住宅,1室0厅1卫,36平米,朝南北,中等装修,第27层/共32层,世茂湖滨首府,湖边水库片,经纪人：
江头台湾街华永天地一室一厅带阁楼住家新景天湖对面,2600,整租,普通住宅,1室1厅1卫,55平米,朝南北,豪华装修,第11层/共12层,华永天地,江头北路,经纪人：
吕厝江头东方巴黎广场高品质小区精装一房一厅价格便宜,2400,整租,普通住宅,1室1厅1卫,50平米,朝南北,精装修,第3层/共7层,东方巴黎广场,江头北路,经纪人：
嘉禾路台湾街江头公园福园公寓办公住家一体便宜出租,3800,整租,普通住宅,3室2厅1卫,123平米,朝南北,中等装修,第14层/共20层,福园公寓,江头北路,经纪人：
江头台湾街江头公园新景天湖边上江宁里小区2房急租,3000,整租,普通住宅,2室2厅1卫,78平米,朝南北,中等装修,第5层/共7层,江宁里小区,江头北路,经纪人：
世茂湖滨4房楼中楼159平毛胚房租金7000元/月,7000,整租,普通住宅,4室2厅2卫,159平米,朝南北,中等装修,第14层/共20层,世茂湖滨首府,湖边水库片,经纪人：
湖里万达广场软件园二期蔡塘世茂湖滨高装全套,3200,整租,普通住宅,1室1厅1卫,65平米,朝南北,精装修,第25层/共28层,世茂湖滨首府,湖边水库片,经纪人：
吕厝站旁带超大阳台1房出租家电全新卧室方正采光很好,1800,整租,普通住宅,1室1厅1卫,40平米,朝南北,中等装修,第5层/共28层,冠宏花园,江头北路,经纪人：
东方财富广场A级写字楼精装可作公司单价才85块,25000,整租,普通住宅,4室3厅0卫,295平米,朝南北,中等装修,第8层/共30层,东方财富广场,SM附近,经纪人：
吕厝地铁口SM旁永同昌大厦出租办公写字楼看房方便,11000,整租,普通住宅,4室1厅1卫,207平米,朝南北,中等装修,第8层/共32层,永同昌大厦,吕厝,经纪人：
祥店中央天成欧式风格精装单身公寓高楼层仅2400元,2400,整租,普通住宅,1室1厅1卫,40平米,朝南北,精装修,第23层/共25层,建发中央天成,祥店,经纪人：
金山站附近融景湾一室一厅一厨一卫一阳,2599,整租,公寓,1室1厅1卫,45平米,第5层/共32层,,,融景湾,金山小区,品牌公寓：
智能门锁家电齐全拎包入住,1538,整租,公寓,1室1厅1卫,26平米,第8层/共14层,,,UONE天地,高新技术园,品牌公寓：
青友品牌公寓出租免中介 湖里高新技术与园宏益华府小区 两室一厅精装多样风格配套齐全公寓（赠送物业宽带 可押一付一 可短租 拎包入住 交通便利）,2799,整租,公寓,2室1厅1卫,52平米,第8层/共13层,,,宏益华府,机场附近,品牌公寓：
青友品牌公寓出租免中介 湖里高新技术与园宏益华府小区 两室一厅精装多样风格配套齐全公寓（赠送物业宽带 可押一付一 可短租 拎包入住 交通便利）,2799,整租,公寓,2室1厅1卫,52平米,第8层/共13层,,,宏益华府,市政务中心,品牌公寓：
青友品牌公寓出租免中介 BRT县后站湖里高新技术园宏益华府小区一房一厅精装多样风格配套齐全公寓（赠送物业宽带 可押一付一 可短租 拎包入住 交通便利）,1850,整租,公寓,1室1厅1卫,32平米,第11层/共13层,,,宏益华府,机场附近,品牌公寓：
湖里万达广场软件园二期蔡塘世茂湖滨高装全套,3200,整租,普通住宅,1室1厅1卫,65平米,朝南北,精装修,第25层/共28层,世茂湖滨首府,湖边水库片,经纪人：
吕厝站旁带超大阳台1房出租家电全新卧室方正采光很好,1800,整租,普通住宅,1室1厅1卫,40平米,朝南北,中等装修,第5层/共28层,冠宏花园,江头北路,经纪人：
东方财富广场A级写字楼精装可作公司单价才85块,25000,整租,普通住宅,4室3厅0卫,295平米,朝南北,中等装修,第8层/共30层,东方财富广场,SM附近,经纪人：
吕厝地铁口SM旁永同昌大厦出租办公写字楼看房方便,11000,整租,普通住宅,4室1厅1卫,207平米,朝南北,中等装修,第8层/共32层,永同昌大厦,吕厝,经纪人：
祥店中央天成欧式风格精装单身公寓高楼层仅2400元,2400,整租,普通住宅,1室1厅1卫,40平米,朝南北,精装修,第23层/共25层,建发中央天成,祥店,经纪人：
S.M江头吕厝冠宏花园3房1厅93平办公员工宿舍,3700,整租,普通住宅,3室2厅1卫,93平米,朝南,中等装修,第16层/共29层,冠宏花园,江头北路,经纪人：
江头台湾街长安大厦160平办公交通生活两便利,6000,整租,普通住宅,3室1厅1卫,160平米,朝南,中等装修,第10层/共29层,长安大厦,江头,经纪人：
江头公园台湾街冠宏花园大三房豪装出租繁华地段,1300,合租,普通住宅,2室1厅1卫,25平米,朝南,中等装修,第14层/共29层,新景园,江头,经纪人：
优山美地东渡六中旁联排别墅自带花园可停三辆车租金便宜,17000,整租,普通住宅,5室3厅6卫,300平米,朝南北,中等装修,第4层/共4层,优山美地,东渡,经纪人：
万达旁，湖边花园，正规两房，家电齐全，仅租3000元/月！,3000,整租,普通住宅,2室2厅1卫,65平米,朝南,中等装修,第20层/共34层,湖边花园B区,蔡塘,经纪人：
万达对面五缘湾、软件园附近单间独卫招租啦可煮饭带阳台,1300,整租,普通住宅,1室0厅1卫,25平米,朝南北,精装修,第1层/共1层,特房山水新座,湖边水库片,经纪人：
万达旁特房山水杰座两室一厅精装家具齐全拎包入住,2500,整租,普通住宅,2室1厅1卫,70平米,朝南,中等装修,第15层/共38层,特房山水杰座,湖边水库片,经纪人：
万达对面特房山水尚座一房一厅家具齐全随时看房,1800,整租,普通住宅,1室1厅1卫,20平米,朝南北,简单装修,第18层/共32层,特房山水尚座,湖边水库片,经纪人：
万达广场特房山水新座单间公寓一房精装出租,1300,整租,普通住宅,1室0厅1卫,20平米,朝南,精装修,第16层/共18层,特房山水新座,湖边水库片,经纪人：
《个人房东》免中介费【可短租月租】实景拎包入住干净漂亮全套《万达广场》,2400,整租,普通住宅,1室1厅1卫,45平米,朝南北,豪华装修,第11层/共31层,湖里万达SOHO,高新技术园,个人                                                ：
万达公寓软件园观音山多套1800起有精装短租日租的,1800,整租,公寓,1室1厅1卫,44平米,朝南,精装修,第11层/共31层,万达SOHO公寓,万达广场,经纪人：
万达公寓租价又不会掉再挑就那么几套没有只有更好,1700,整租,公寓,1室0厅1卫,44平米,朝南,中等装修,第4层/共31层,万达SOHO公寓,湖边水库片,经纪人：
房东自住型装修，真实照片，实地拍摄，干净清爽，随时来电看房！,3100,整租,普通住宅,1室1厅1卫,42平米,朝南,豪华装修,第15层/共31层,万达SOHO公寓,湖边水库片,经纪人：
SM旁兴隆路大唐世家别墅使用600平车库大花园可办公,16000,整租,别墅,6室3厅4卫,283平米,朝南北,中等装修,第1层/共4层,大唐世家二期,兴隆路,经纪人：
公寓直租免中介费BRT旁带电梯精装复式,1450,整租,公寓,1室1厅1卫,26平米,第3层/共5层,,,金山小区,后坑,品牌公寓：
UONE天地|精装单间|近BRT|居住证开发票,1438,合租,公寓,3室1厅3卫,30平米,第6层/共14层,,,UONE天地,县后,品牌公寓：
湖里万达广场20m²金益五里,850,整租,公寓,1室0厅0卫,20平米,第15层/共32层,,,金益五里,万达广场,品牌公寓：
业主免中介，湖里高新技术园力拓大厦,2600,整租,公寓,2室1厅1卫,42平米,第8层/共13层,,,力拓大厦,枋湖,品牌公寓：
青友公寓 县后BRT 宏益华府 一房 家具家电齐全 周边配套齐全,1450,整租,公寓,1室0厅1卫,20平米,第6层/共13层,,,宏益华府,五缘湾,品牌公寓：
新房出租独门独户精装单身公寓全新家电独卫有阳台可做饭,1700,整租,普通住宅,1室0厅1卫,38平米,朝南北,精装修,第11层/共25层,兴山花园,SM附近,经纪人：
低价急租2500住70平的大2房厅带阳台2房朝南超值,2500,整租,普通住宅,2室1厅1卫,70平米,朝南,中等装修,第6层/共7层,中港花园二期,SM附近,经纪人：
乐购旁大唐SOHO精装修复式公寓BRT沿线高层景观好,3400,整租,普通住宅,1室1厅1卫,47平米,朝南北,精装修,第15层/共26层,大唐五缘YOHO,五缘湾,经纪人：
特房五缘尚座超高层大露台朋友小聚乐购湾悦城旁精致三房,6500,整租,普通住宅,4室2厅2卫,143平米,朝南北,中等装修,第21层/共25层,特房五缘尚座,五缘湾,经纪人：
软件园海峡上东美地精装3房南北通透家具家电齐全,7500,整租,普通住宅,3室2厅2卫,139平米,朝南北,精装修,第16层/共18层,上东美地,湖边水库片,经纪人：
4房可住家可办公软件园观音山建发品质交通方便,6500,整租,普通住宅,4室2厅3卫,139平米,朝南北,中等装修,第12层/共18层,上东美地,湖边水库片,经纪人：
赤坡山站软件园建发品质精装两房配齐交通方便,5500,整租,普通住宅,2室2厅1卫,91平米,朝南北,精装修,第10层/共11层,上东美地,湖边水库片,经纪人：
祥店SM中央天成2房3千3实木家具全新装修全新小区,3300,整租,普通住宅,2室1厅1卫,67平米,朝南北,中等装修,第20层/共25层,建发中央天成,祥店,经纪人：
祥店幸福生活中医院实验二小旁简装采光佳三房3800元,3800,整租,普通住宅,3室2厅2卫,135平米,朝南北,中等装修,第8层/共15层,第二城幸福生活,祥店,经纪人：
祥店单身公寓中医院国贸阳光一房一厅2500元拎包入住,2500,整租,普通住宅,1室1厅1卫,35平米,朝南北,中等装修,第19层/共20层,国贸阳光,祥店,经纪人：
中铁财富港湾中等装修2室朝南北,4000,整租,普通住宅,2室2厅1卫,61平米,朝南北,中等装修,第12层/共31层,中铁财富港湾,江头北路,经纪人：
地铁口中铁财富港湾最好户型2房客厅带阳台随时看房,3700,整租,普通住宅,2室2厅1卫,73平米,朝南北,中等装修,第31层/共31层,中铁财富港湾,江头北路,经纪人：
高档办公福隆国际160平精装7800！全套办公用品,7800,整租,普通住宅,3室2厅2卫,160平米,朝南北,中等装修,第11层/共31层,福隆国际,江头北路,经纪人：
3800租3房家电齐全通行便利祥店新村便宜3房中医院,3800,整租,普通住宅,3室2厅1卫,91平米,朝南北,中等装修,第3层/共7层,金尚风景（福满园）,祥店,经纪人：
2房2卫精装头次出租两房4500好房租好价拎包入住,4500,整租,普通住宅,2室1厅2卫,90平米,朝南北,中等装修,第18层/共20层,国贸阳光,祥店,经纪人：
联发新天地高装大3房南北通透全套家电带电梯低楼层,5600,整租,普通住宅,3室2厅2卫,160平米,朝南北,中等装修,第2层/共19层,联发新天地,祥店,经纪人：
2100/月世茂湖滨中装1房1厅，采光好，拎包入住,2100,整租,普通住宅,1室1厅1卫,25平米,朝南北,中等装修,第6层/共9层,世茂湖滨首府,湖边水库片,经纪人：
精品外窗单间1000元每月数量有限,990,整租,普通住宅,1室1厅1卫,20平米,朝东,精装修,第2层/共2层,江宁里小区,江头北路,经纪人：
吕厝地铁口冠宏花园电梯高层正规一房一厅精装修拎包入住,2600,整租,普通住宅,1室1厅1卫,50平米,朝东南,精装修,第22层/共27层,冠宏花园,江头北路,经纪人：
湖里高新技术园宏益华府,1500,整租,公寓,1室1厅1卫,25平米,第8层/共13层,,,宏益华府,高新技术园,品牌公寓：
县后BRT看海景高层视野开阔一房,1850,整租,公寓,1室1厅1卫,35平米,第13层/共13层,,,宏益华府,高新技术园,品牌公寓：
UONE天地近BRT精装单间,1188,合租,公寓,3室1厅3卫,18平米,第11层/共14层,,,UONE天地,高新技术园,品牌公寓：
青友品牌公寓出租免中介高新技术园宏益华府小区两房一厅精装配套齐全公寓（赠送物业宽带 拎包入住 交通便利）,2799,整租,公寓,2室1厅1卫,42平米,第6层/共13层,,,宏益华府,五缘湾,品牌公寓：
全新家具拎包入住免中间费用,1338,整租,公寓,1室1厅1卫,25平米,第2层/共14层,,,UONE天地,高新技术园,品牌公寓：
2房2卫精装头次出租两房4500好房租好价拎包入住,4500,整租,普通住宅,2室1厅2卫,90平米,朝南北,中等装修,第18层/共20层,国贸阳光,祥店,经纪人：
联发新天地高装大3房南北通透全套家电带电梯低楼层,5600,整租,普通住宅,3室2厅2卫,160平米,朝南北,中等装修,第2层/共19层,联发新天地,祥店,经纪人：
2100/月世茂湖滨中装1房1厅，采光好，拎包入住,2100,整租,普通住宅,1室1厅1卫,25平米,朝南北,中等装修,第6层/共9层,世茂湖滨首府,湖边水库片,经纪人：
精品外窗单间1000元每月数量有限,990,整租,普通住宅,1室1厅1卫,20平米,朝东,精装修,第2层/共2层,江宁里小区,江头北路,经纪人：
吕厝地铁口冠宏花园电梯高层正规一房一厅精装修拎包入住,2600,整租,普通住宅,1室1厅1卫,50平米,朝东南,精装修,第22层/共27层,冠宏花园,江头北路,经纪人：
湖里吕厝sm商圈冠宏花园单身公寓交通便捷拎包入住,1300,整租,普通住宅,1室1厅1卫,25平米,朝东西,中等装修,第2层/共27层,冠宏花园,江头北路,经纪人：
江头台湾街都市华庭温馨公寓850-1650元包物业费,1150,整租,普通住宅,1室0厅1卫,28平米,朝南北,精装修,第7层/共16层,都市华庭,江头北路,经纪人：
